Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623160276.585837,172.10.0.2:55682,2,71,52,35
1623160276.601744,172.10.0.2:55682,2,71,51,35
1623160276.617726,172.10.0.2:55682,2,71,50,35
1623160276.633372,172.10.0.2:55682,2,71,50,35
1623160276.649495,172.10.0.2:55682,2,71,49,35
1623160276.664991,172.10.0.2:55682,2,71,48,35
1623160276.680778,172.10.0.2:55682,2,71,48,35
1623160276.696481,172.10.0.2:55682,2,71,47,35
1623160276.712046,172.10.0.2:55682,2,71,46,35
1623160276.727700,172.10.0.2:55682,2,71,46,35
1623160276.743827,172.10.0.2:55682,2,71,45,35
1623160276.759546,172.10.0.2:55682,2,71,45,35
1623160276.775308,172.10.0.2:55682,2,71,44,35
1623160276.790978,172.10.0.2:55682,2,71,43,35
1623160276.806635,172.10.0.2:55682,2,71,43,35
1623160276.822714,172.10.0.2:55682,2,71,42,35
1623160276.838409,172.10.0.2:55682,2,71,41,35
1623160276.854313,172.10.0.2:55682,2,71,41,35
1623160276.870671,172.10.0.2:55682,2,71,40,35
1623160276.887060,172.10.0.2:55682,2,71,39,35
1623160276.903465,172.10.0.2:55682,2,71,39,35
1623160276.919290,172.10.0.2:55682,2,71,38,35
1623160276.935612,172.10.0.2:55682,2,71,37,35
1623160276.951362,172.10.0.2:55682,2,71,35,35
1623160276.967477,172.10.0.2:55682,2,71,35,35
1623160276.983227,172.10.0.2:55682,2,71,35,35
1623160276.999394,172.10.0.2:55682,2,71,35,35
1623160277.015106,172.10.0.2:55682,1,71,35,35
1623160277.031353,172.10.0.2:55682,0,71,35,35
1623160277.047127,172.10.0.2:55682,0,71,35,35
1623160277.063224,172.10.0.2:55682,0,71,35,35
1623160277.078974,172.10.0.2:55682,0,71,35,35
1623160277.095015,172.10.0.2:55682,0,71,35,35
1623160277.110988,172.10.0.2:55682,0,71,35,35
1623160277.126958,172.10.0.2:55682,0,71,35,35
1623160277.143095,172.10.0.2:55682,0,71,35,35
1623160277.159094,172.10.0.2:55682,0,71,35,35
1623160277.175210,172.10.0.2:55682,0,71,35,35
1623160277.190765,172.10.0.2:55682,0,71,35,35
1623160277.206460,172.10.0.2:55682,0,71,35,35
1623160277.222366,172.10.0.2:55682,0,71,35,35
1623160277.237959,172.10.0.2:55682,0,71,35,35
1623160277.253705,172.10.0.2:55682,0,71,35,35
1623160277.269363,172.10.0.2:55682,0,71,35,35
1623160277.285454,172.10.0.2:55682,0,71,35,35
1623160277.301451,172.10.0.2:55682,0,71,35,35
1623160277.317593,172.10.0.2:55682,0,71,35,35
1623160277.333185,172.10.0.2:55682,0,71,35,35
1623160277.349205,172.10.0.2:55682,0,71,35,35
1623160277.364920,172.10.0.2:55682,0,71,35,35
1623160277.380937,172.10.0.2:55682,0,71,35,35
1623160277.396430,172.10.0.2:55682,0,71,35,35
1623160277.412323,172.10.0.2:55682,0,71,35,35
1623160277.427797,172.10.0.2:55682,0,71,35,35
1623160277.443528,172.10.0.2:55682,0,71,36,35
1623160277.459270,172.10.0.2:55682,0,71,36,35
1623160277.475157,172.10.0.2:55682,0,71,36,35
1623160277.491141,172.10.0.2:55682,0,71,36,35
1623160277.507024,172.10.0.2:55682,0,71,36,35
1623160277.522698,172.10.0.2:55682,0,71,36,35
1623160277.538388,172.10.0.2:55682,0,71,36,35
1623160277.554049,172.10.0.2:55682,0,71,36,35
1623160277.569723,172.10.0.2:55682,0,71,36,35
1623160277.585478,172.10.0.2:55682,0,71,36,35
1623160277.601097,172.10.0.2:55682,0,71,36,35
1623160277.616912,172.10.0.2:55682,0,71,36,35
1623160277.632469,172.10.0.2:55682,0,71,36,35
1623160277.648070,172.10.0.2:55682,0,71,36,35
1623160277.663666,172.10.0.2:55682,0,71,36,35
1623160277.679266,172.10.0.2:55682,0,71,36,35
1623160277.694922,172.10.0.2:55682,0,71,36,35
1623160277.710533,172.10.0.2:55682,0,71,36,35
1623160277.726259,172.10.0.2:55682,0,71,36,35
1623160277.742109,172.10.0.2:55682,0,71,36,35
1623160277.758686,172.10.0.2:55682,0,71,36,35
1623160277.774759,172.10.0.2:55682,0,71,36,35
1623160277.790536,172.10.0.2:55682,0,71,36,35
1623160277.806121,172.10.0.2:55682,0,71,36,35
1623160277.822003,172.10.0.2:55682,0,71,36,35
1623160277.837490,172.10.0.2:55682,0,71,36,35
1623160277.853297,172.10.0.2:55682,0,71,36,35
1623160277.868845,172.10.0.2:55682,0,71,37,35
1623160277.884427,172.10.0.2:55682,0,71,37,35
1623160277.899813,172.10.0.2:55682,0,71,37,35
1623160277.916012,172.10.0.2:55682,0,71,37,35
1623160277.931524,172.10.0.2:55682,0,71,37,35
1623160277.947208,172.10.0.2:55682,0,71,37,35
1623160277.962777,172.10.0.2:55682,0,71,37,35
1623160277.978712,172.10.0.2:55682,0,71,37,35
1623160277.994442,172.10.0.2:55682,0,71,37,35
1623160278.011268,172.10.0.2:55682,0,71,37,35
1623160278.026962,172.10.0.2:55682,0,71,37,35
1623160278.042819,172.10.0.2:55682,0,71,37,35
1623160278.058637,172.10.0.2:55682,0,71,37,35
1623160278.075768,172.10.0.2:55682,0,71,37,35
1623160278.091320,172.10.0.2:55682,0,71,37,35
1623160278.107383,172.10.0.2:55682,0,71,37,35
1623160278.123047,172.10.0.2:55682,0,71,37,35
1623160278.139086,172.10.0.2:55682,0,71,37,35
1623160278.154691,172.10.0.2:55682,0,71,37,35
1623160278.170623,172.10.0.2:55682,0,71,37,35
1623160278.186251,172.10.0.2:55682,0,71,37,35
1623160278.202448,172.10.0.2:55682,0,71,37,35
1623160278.218070,172.10.0.2:55682,0,71,37,35
1623160278.234161,172.10.0.2:55682,0,71,37,35
1623160278.249879,172.10.0.2:55682,0,71,37,35
1623160278.265964,172.10.0.2:55682,0,71,37,35
1623160278.281652,172.10.0.2:55682,0,71,37,35
1623160278.298184,172.10.0.2:55682,0,71,37,35
1623160278.313760,172.10.0.2:55682,0,71,38,35
1623160278.329538,172.10.0.2:55682,0,71,38,35
1623160278.345096,172.10.0.2:55682,0,71,38,35
1623160278.360811,172.10.0.2:55682,0,71,38,35
1623160278.376261,172.10.0.2:55682,0,71,38,35
1623160278.392036,172.10.0.2:55682,0,71,38,35
1623160278.407525,172.10.0.2:55682,0,71,38,35
1623160278.423327,172.10.0.2:55682,0,71,38,35
1623160278.438909,172.10.0.2:55682,0,71,38,35
1623160278.454652,172.10.0.2:55682,0,71,38,35
1623160278.470311,172.10.0.2:55682,0,71,38,35
1623160278.486095,172.10.0.2:55682,0,71,38,35
1623160278.501929,172.10.0.2:55682,0,71,38,35
1623160278.517650,172.10.0.2:55682,0,71,38,35
1623160278.533457,172.10.0.2:55682,0,71,38,35
1623160278.549621,172.10.0.2:55682,0,71,38,35
1623160278.565411,172.10.0.2:55682,0,71,38,35
1623160278.581140,172.10.0.2:55682,0,71,38,35
